week,building,kWh,gas_therm,water_gallon,heating_dd,normalized_kWh
2026-03-09,Campus Misc,20.56,0.0,0.0,0.0,20.56
2026-03-09,Green Music Center,4982061.229806,0.0,0.0,0.0,4982061.229806
2026-03-09,Ives Hall,5739.808483,0.0,0.0,0.0,5739.808483
2026-03-09,Nichols Hall,132216.44549,0.0,0.0,0.0,132216.44549
2026-03-09,Physical Education,9582.62,0.0,0.0,0.0,9582.62
2026-03-09,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2026-03-09,Student Center,25705.668161,0.0,0.0,0.0,25705.668161
2026-03-09,Student Health Center,0.0,0.0,0.0,0.0,0.0
2026-03-09,Wine Spectator Learning Ctr,21442.32,0.0,0.0,0.0,21442.32
2026-03-16,Campus Misc,4.06,0.0,0.0,0.0,4.06
2026-03-16,Green Music Center,448981.047971,0.0,0.0,0.0,448981.047971
2026-03-16,Ives Hall,2475.740616,0.0,0.0,0.0,2475.740616
2026-03-16,Nichols Hall,49088.661584,0.0,0.0,0.0,49088.661584
2026-03-16,Physical Education,9475.77,0.0,0.0,0.0,9475.77
2026-03-16,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2026-03-16,Student Center,41983.37595,0.0,0.0,0.0,41983.37595
2026-03-16,Student Health Center,0.0,0.0,0.0,0.0,0.0
2026-03-16,Wine Spectator Learning Ctr,21790.6,0.0,0.0,0.0,21790.6
2026-03-23,Campus Misc,28.24,0.0,0.0,0.0,28.24
2026-03-23,Green Music Center,413444.909985,0.0,0.0,0.0,413444.909985
2026-03-23,Ives Hall,6168.440371,0.0,0.0,0.0,6168.440371
2026-03-23,Nichols Hall,1606.815583,0.0,0.0,0.0,1606.815583
2026-03-23,Physical Education,9477.3,0.0,0.0,0.0,9477.3
2026-03-23,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2026-03-23,Student Center,23723.039437,0.0,0.0,0.0,23723.039437
2026-03-23,Student Health Center,0.0,0.0,0.0,0.0,0.0
2026-03-23,Wine Spectator Learning Ctr,21985.01,0.0,0.0,0.0,21985.01
2026-03-30,Campus Misc,24.45,0.0,0.0,0.0,24.45
2026-03-30,Green Music Center,212550.055291,0.0,0.0,0.0,212550.055291
2026-03-30,Ives Hall,5477.566304,0.0,0.0,0.0,5477.566304
2026-03-30,Nichols Hall,706.39887,0.0,0.0,0.0,706.39887
2026-03-30,Physical Education,9058.91,0.0,0.0,0.0,9058.91
2026-03-30,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2026-03-30,Student Center,19180.749004,0.0,0.0,0.0,19180.749004
2026-03-30,Student Health Center,0.0,0.0,0.0,0.0,0.0
2026-03-30,Wine Spectator Learning Ctr,19615.31,0.0,0.0,0.0,19615.31
2026-04-06,Campus Misc,28.2,0.0,0.0,0.0,28.2
2026-04-06,Green Music Center,290449.14626,0.0,0.0,0.0,290449.14626
2026-04-06,Ives Hall,6817.978607,0.0,0.0,0.0,6817.978607
2026-04-06,Nichols Hall,237.136723,0.0,0.0,0.0,237.136723
2026-04-06,Physical Education,8929.81,0.0,0.0,0.0,8929.81
2026-04-06,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2026-04-06,Student Center,14661.018994,0.0,0.0,0.0,14661.018994
2026-04-06,Student Health Center,0.0,0.0,0.0,0.0,0.0
2026-04-06,Wine Spectator Learning Ctr,21268.57,0.0,0.0,0.0,21268.57
2026-04-13,Campus Misc,0.03,0.0,0.0,0.0,0.03
2026-04-13,Green Music Center,93969.846595,0.0,0.0,0.0,93969.846595
2026-04-13,Ives Hall,3853.45305,0.0,0.0,0.0,3853.45305
2026-04-13,Nichols Hall,51.391031,0.0,0.0,0.0,51.391031
2026-04-13,Physical Education,4088.99,0.0,0.0,0.0,4088.99
2026-04-13,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2026-04-13,Student Center,7492.678718,0.0,0.0,0.0,7492.678718
2026-04-13,Student Health Center,0.0,0.0,0.0,0.0,0.0
2026-04-13,Wine Spectator Learning Ctr,10608.17,0.0,0.0,0.0,10608.17
